ubigeo,ano,semana,p_fal,p_vivax,date
160101,2016,22,45,27,2016-05-30
160101,2016,23,34,35,2016-06-06
160101,2016,24,20,20,2016-06-13
160101,2016,25,14,20,2016-06-20
160101,2016,26,10,41,2016-06-27
160101,2016,27,15,21,2016-07-04
160101,2016,28,17,32,2016-07-11
160101,2016,29,17,32,2016-07-18
160101,2016,30,17,20,2016-07-25
160101,2016,31,20,30,2016-08-01
160101,2016,32,20,39,2016-08-08
160101,2016,33,15,27,2016-08-15
160101,2016,34,20,24,2016-08-22
160101,2016,35,10,23,2016-08-29
160101,2016,36,11,28,2016-09-05
160101,2016,37,18,30,2016-09-12
160101,2016,38,5,19,2016-09-19
160101,2016,39,7,21,2016-09-26
160101,2016,40,9,18,2016-10-03
160101,2016,41,10,26,2016-10-10
160101,2016,42,3,26,2016-10-17
160101,2016,43,6,8,2016-10-24
160101,2016,44,11,25,2016-10-31
160101,2016,45,12,23,2016-11-07
160101,2016,46,2,16,2016-11-14
160101,2016,47,2,16,2016-11-21
160101,2016,48,8,16,2016-11-28
160101,2016,49,10,23,2016-12-05
160101,2016,50,9,12,2016-12-12
160101,2016,51,5,15,2016-12-19
160101,2016,52,5,14,2016-12-26
160101,2017,1,3,23,2017-01-02
160101,2017,2,7,16,2017-01-09
160101,2017,3,5,21,2017-01-16
160101,2017,4,6,21,2017-01-23
160101,2017,5,10,31,2017-01-30
160101,2017,6,14,31,2017-02-06
160101,2017,7,5,30,2017-02-13
160101,2017,8,1,28,2017-02-20
160101,2017,9,4,21,2017-02-27
160101,2017,10,6,31,2017-03-06
160101,2017,11,4,25,2017-03-13
160101,2017,12,9,36,2017-03-20
160101,2017,13,8,19,2017-03-27
160101,2017,14,2,33,2017-04-03
160101,2017,15,4,33,2017-04-10
160101,2017,16,3,33,2017-04-17
160101,2017,17,1,18,2017-04-24
160101,2017,18,10,33,2017-05-01
160101,2017,19,8,36,2017-05-08
160101,2017,20,16,48,2017-05-15
160101,2017,21,12,51,2017-05-22
160101,2017,22,13,38,2017-05-29
160101,2017,23,17,40,2017-06-05
160101,2017,24,17,49,2017-06-12
160101,2017,25,16,51,2017-06-19
160101,2017,26,10,30,2017-06-26
160101,2017,27,10,32,2017-07-03
160101,2017,28,9,12,2017-07-10
160101,2017,29,5,16,2017-07-17
160101,2017,30,8,18,2017-07-24
160101,2017,31,6,14,2017-07-31
160101,2017,32,0,7,2017-08-07
160101,2017,33,2,10,2017-08-14
160101,2017,34,14,28,2017-08-21
160101,2017,35,5,17,2017-08-28
160101,2017,36,3,23,2017-09-04
160101,2017,37,6,11,2017-09-11
160101,2017,38,1,14,2017-09-18
160101,2017,39,1,15,2017-09-25
160101,2017,40,1,12,2017-10-02
160101,2017,41,6,28,2017-10-09
160101,2017,42,1,17,2017-10-16
160101,2017,43,2,16,2017-10-23
160101,2017,44,5,17,2017-10-30
160101,2017,45,3,26,2017-11-06
160101,2017,46,6,20,2017-11-13
160101,2017,47,4,11,2017-11-20
160101,2017,48,8,29,2017-11-27
160101,2017,49,13,29,2017-12-04
160101,2017,50,5,16,2017-12-11
160101,2017,51,6,17,2017-12-18
160101,2017,52,1,16,2017-12-25
160101,2018,1,16,41,2018-01-01
160101,2018,2,5,20,2018-01-08
160101,2018,3,11,37,2018-01-15
160101,2018,4,7,27,2018-01-22
160101,2018,5,9,33,2018-01-29
160101,2018,6,5,30,2018-02-05
160101,2018,7,17,62,2018-02-12
160101,2018,8,20,48,2018-02-19
160101,2018,9,35,42,2018-02-26
160101,2018,10,33,57,2018-03-05
160101,2018,11,23,43,2018-03-12
160101,2018,12,26,67,2018-03-19
160101,2018,13,14,35,2018-03-26
160101,2018,14,24,38,2018-04-02
160101,2018,15,10,23,2018-04-09
160101,2018,16,24,52,2018-04-16
160101,2018,17,13,30,2018-04-23
160101,2018,18,9,38,2018-04-30
160101,2018,19,5,29,2018-05-07
160101,2018,20,2,15,2018-05-14
